
=== BRASIL CONSOLIDADO - GERAL ===

--- Coluna: Codigos assuntos ---
Item;Contagem;Percentual
TOTAL GERAL;26743;100.00%

--- Coluna: Polo ativo ---
Item;Contagem;Percentual
CENTRAL NACIONAL UNIMED - COOPERATIVA CENTRAL;645;13.85%
DISTRITO FEDERAL;454;9.75%
SUL AMERICA COMPANHIA DE SEGURO SAUDE;294;6.31%
AMIL ASSISTENCIA MEDICA INTERNACIONAL S.A.;259;5.56%
BRADESCO SAUDE S/A;254;5.45%
GEAP AUTOGESTAO EM SAUDE;194;4.17%
QUALICORP ADMINISTRADORA DE BENEFICIOS S.A.;135;2.90%
CAIXA DE ASSISTENCIA DOS FUNCIONARIOS DO BANCO DO BRASIL;130;2.79%
UNIMED SEGUROS SAUDE S/A;122;2.62%
HAPVIDA ASSISTENCIA MEDICA S.A.;99;2.13%
Outros (314 itens);1446;31.05%
Sigiloso;625;13.42%
TOTAL GERAL;4657;100.00%

--- Coluna: Polo ativo - Natureza juridica ---
Item;Contagem;Percentual
SOCIEDADE ANONIMA FECHADA;1475;31.67%
COOPERATIVA;765;16.43%
SOCIEDADE EMPRESARIA LIMITADA;507;10.89%
ESTADO OU DISTRITO FEDERAL;464;9.96%
FUNDACAO PRIVADA;266;5.71%
ASSOCIACAO PRIVADA;219;4.70%
ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL;91;1.95%
AUTARQUIA ESTADUAL OU DO DISTRITO FEDERAL;88;1.89%
SOCIEDADE SIMPLES PURA;36;0.77%
SOCIEDADE ANONIMA ABERTA;29;0.62%
Outros (9 itens);92;1.98%
Sigiloso;625;13.42%
TOTAL GERAL;4657;100.00%

--- Coluna: Polo passivo ---
Item;Contagem;Percentual
DISTRITO FEDERAL;8482;50.51%
CENTRAL NACIONAL UNIMED - COOPERATIVA CENTRAL;797;4.75%
AMIL ASSISTENCIA MEDICA INTERNACIONAL S.A.;785;4.67%
BRADESCO SAUDE S/A;544;3.24%
SUL AMERICA COMPANHIA DE SEGURO SAUDE;422;2.51%
QUALICORP ADMINISTRADORA DE BENEFICIOS S.A.;399;2.38%
CAIXA DE ASSISTENCIA DOS FUNCIONARIOS DO BANCO DO BRASIL;333;1.98%
QUALLITY PRO SAUDE PLANO DE ASSISTENCIA MEDICA LTDA;278;1.66%
GEAP AUTOGESTAO EM SAUDE;242;1.44%
SAMEDIL - SERVICOS DE ATENDIMENTO MEDICO S/A;201;1.20%
Outros (512 itens);3685;21.94%
Sigiloso;625;3.72%
TOTAL GERAL;16793;100.00%

--- Coluna: Polo passivo - Natureza juridica ---
Item;Contagem;Percentual
ESTADO OU DISTRITO FEDERAL;8555;50.94%
SOCIEDADE ANONIMA FECHADA;3321;19.78%
SOCIEDADE EMPRESARIA LIMITADA;1492;8.88%
COOPERATIVA;1139;6.78%
ASSOCIACAO PRIVADA;531;3.16%
FUNDACAO PRIVADA;447;2.66%
AUTARQUIA ESTADUAL OU DO DISTRITO FEDERAL;185;1.10%
ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL;107;0.64%
SOCIEDADE ANONIMA ABERTA;105;0.63%
SOCIEDADE SIMPLES LIMITADA;99;0.59%
Outros (16 itens);187;1.11%
Sigiloso;625;3.72%
TOTAL GERAL;16793;100.00%




=== REGIONAL CO_TJGO_CN - GERAL ===

--- Coluna: Codigos assuntos ---
Item;Contagem;Percentual
12489;3881;15.69%
12503;2685;10.86%
12506;2436;9.85%
12494;2231;9.02%
12495;1836;7.42%
12505;1535;6.21%
12500;1355;5.48%
12487;1352;5.47%
12496;1075;4.35%
12508;597;2.41%
Outros (169 itens);5746;23.24%
TOTAL GERAL;24729;100.00%

--- Coluna: Polo ativo ---
Item;Contagem;Percentual
GOIAS MP PROCURADORIA GERAL DE JUSTICA;3644;44.40%
DEFENSORIA PUBLICA DO ESTADO DE GOIAS;457;5.57%
ESTADO DE GOIAS;255;3.11%
INSTITUTO DE ASSISTENCIA DOS SERVIDORES PUBLICOS DO ESTADO DE GOIAS - IPASGO;223;2.72%
UNIMED GOIANIA COOPERATIVA DE TRABALHO MEDICO;164;2.00%
SERVICO SOCIAL AUTONOMO DE ASSISTENCIA A SAUDE DOS SERVIDORES PUBLICOS E MILITARES DO ESTADO DE GOIAS - IPASGO SAUDE;112;1.36%
MUNICIPIO DE ANAPOLIS;72;0.88%
HAPVIDA ASSISTENCIA MEDICA S.A.;57;0.69%
MUNICIPIO DE GOIANIA;53;0.65%
CENTRAL NACIONAL UNIMED - COOPERATIVA CENTRAL;43;0.52%
Outros (219 itens);545;6.64%
Sigiloso;2583;31.47%
TOTAL GERAL;8208;100.00%

--- Coluna: Polo ativo - Natureza juridica ---
Item;Contagem;Percentual
ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL;4107;50.04%
COOPERATIVA;283;3.45%
MUNICIPIO;282;3.44%
ESTADO OU DISTRITO FEDERAL;255;3.11%
AUTARQUIA ESTADUAL OU DO DISTRITO FEDERAL;232;2.83%
SOCIEDADE ANONIMA FECHADA;130;1.58%
SERVICO SOCIAL AUTONOMO;112;1.36%
SOCIEDADE EMPRESARIA LIMITADA;90;1.10%
ND;35;0.43%
ASSOCIACAO PRIVADA;28;0.34%
Outros (17 itens);71;0.87%
Sigiloso;2583;31.47%
TOTAL GERAL;8208;100.00%

--- Coluna: Polo passivo ---
Item;Contagem;Percentual
ESTADO DE GOIAS;5879;23.61%
MUNICIPIO DE GOIANIA;3066;12.31%
SECRETARIA DE ESTADO DA SAUDE;2677;10.75%
UNIMED GOIANIA COOPERATIVA DE TRABALHO MEDICO;1818;7.30%
INSTITUTO DE ASSISTENCIA DOS SERVIDORES PUBLICOS DO ESTADO DE GOIAS - IPASGO;1077;4.32%
HAPVIDA ASSISTENCIA MEDICA S.A.;503;2.02%
SERVICO SOCIAL AUTONOMO DE ASSISTENCIA A SAUDE DOS SERVIDORES PUBLICOS E MILITARES DO ESTADO DE GOIAS - IPASGO SAUDE;417;1.67%
FUNDO MUNICIPAL DE SAUDE DE ITUMBIARA - FMS;406;1.63%
MUNICIPIO DE ANAPOLIS;404;1.62%
MUNICIPIO DE INHUMAS;308;1.24%
Outros (646 itens);5764;23.15%
Sigiloso;2583;10.37%
TOTAL GERAL;24902;100.00%

--- Coluna: Polo passivo - Natureza juridica ---
Item;Contagem;Percentual
MUNICIPIO;6044;24.27%
ESTADO OU DISTRITO FEDERAL;5880;23.61%
ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL;3030;12.17%
COOPERATIVA;2636;10.59%
AUTARQUIA ESTADUAL OU DO DISTRITO FEDERAL;1080;4.34%
SOCIEDADE ANONIMA FECHADA;896;3.60%
FUNDO PUBLICO DA ADMINISTRACAO DIRETA MUNICIPAL;689;2.77%
ND;464;1.86%
ORGAO PUBLICO DO PODER EXECUTIVO MUNICIPAL;445;1.79%
SERVICO SOCIAL AUTONOMO;417;1.67%
Outros (18 itens);738;2.96%
Sigiloso;2583;10.37%
TOTAL GERAL;24902;100.00%




=== REGIONAL CO_TJMS_CN - GERAL ===

--- Coluna: Codigos assuntos ---
Item;Contagem;Percentual
12416;8472;21.06%
10671;4335;10.77%
12494;4268;10.61%
12489;3622;9.00%
12503;2617;6.50%
12500;1946;4.84%
12495;1945;4.83%
12487;1584;3.94%
12519;1309;3.25%
12502;1072;2.66%
Outros (166 itens);9065;22.53%
TOTAL GERAL;40235;100.00%

--- Coluna: Polo ativo ---
Item;Contagem;Percentual
ESTADO DE MATO GROSSO DO SUL;1786;29.10%
DEFENSORIA PUBLICA GERAL DO ESTADO DE MATO GROSSO DO SUL;1044;17.01%
MUNICIPIO DE NAVIRAI;273;4.45%
DEFENSORIA PUBLICA ESTADUAL;194;3.16%
MINISTERIO PUBLICO ESTADUAL;153;2.49%
MUNICIPIO DE PARANAIBA;90;1.47%
HAPVIDA ASSISTENCIA MEDICA S.A.;84;1.37%
UNIMED CAMPO GRANDE MS COOPERATIVA DE TRABALHO MEDICO;74;1.21%
CAIXA DE ASSISTENCIA DOS SERVIDORES DO ESTADO DE MATO GROSSO DO SUL;63;1.03%
MUNICIPIO DE CAMPO GRANDE;62;1.01%
Outros (204 itens);1050;17.11%
Sigiloso;1265;20.61%
TOTAL GERAL;6138;100.00%

--- Coluna: Polo ativo - Natureza juridica ---
Item;Contagem;Percentual
ESTADO OU DISTRITO FEDERAL;1739;28.33%
ORGAO PUBLICO AUTONOMO ESTADUAL OU DO DISTRITO FEDERAL;1044;17.01%
MUNICIPIO;1009;16.44%
ND;311;5.07%
COOPERATIVA;180;2.93%
ORGAO PUBLICO DO PODER JUDICIARIO ESTADUAL;151;2.46%
SOCIEDADE ANONIMA FECHADA;135;2.20%
SOCIEDADE EMPRESARIA LIMITADA;100;1.63%
ASSOCIACAO PRIVADA;89;1.45%
SOCIEDADE UNIPESSOAL DE ADVOGADOS;47;0.77%
Outros (11 itens);68;1.11%
Sigiloso;1265;20.61%
TOTAL GERAL;6138;100.00%

--- Coluna: Polo passivo ---
Item;Contagem;Percentual
ESTADO DE MATO GROSSO DO SUL;13132;41.83%
MUNICIPIO DE CAMPO GRANDE;5079;16.18%
MUNICIPIO DE DOURADOS;1058;3.37%
MUNICIPIO DE PARANAIBA;716;2.28%
MUNICIPIO DE NAVIRAI;671;2.14%
MUNICIPIO DE NOVA ANDRADINA;492;1.57%
MUNICIPIO DE CAMPO GRANDE-MS;415;1.32%
MUNICIPIO DE IVINHEMA;392;1.25%
UNIMED CAMPO GRANDE MS COOPERATIVA DE TRABALHO MEDICO;340;1.08%
CAIXA DE ASSISTENCIA DOS SERVIDORES DO ESTADO DE MATO GROSSO DO SUL;322;1.03%
Outros (388 itens);7509;23.92%
Sigiloso;1265;4.03%
TOTAL GERAL;31391;100.00%

--- Coluna: Polo passivo - Natureza juridica ---
Item;Contagem;Percentual
MUNICIPIO;13935;44.39%
ESTADO OU DISTRITO FEDERAL;11655;37.13%
ND;2133;6.79%
COOPERATIVA;727;2.32%
ASSOCIACAO PRIVADA;426;1.36%
SOCIEDADE ANONIMA FECHADA;343;1.09%
ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL;228;0.73%
SOCIEDADE EMPRESARIA LIMITADA;210;0.67%
ORGAO PUBLICO DO PODER EXECUTIVO MUNICIPAL;62;0.20%
ORGAO PUBLICO DO PODER JUDICIARIO ESTADUAL;59;0.19%
Outros (23 itens);348;1.11%
Sigiloso;1265;4.03%
TOTAL GERAL;31391;100.00%




=== REGIONAL CO_TJMT_CN - GERAL ===

--- Coluna: Codigos assuntos ---
Item;Contagem;Percentual
12503;3745;8.59%
10671;3532;8.10%
12484;3208;7.35%
12501;3155;7.23%
12486;2625;6.02%
12489;2445;5.61%
12506;2352;5.39%
12491;2297;5.27%
12416;1848;4.24%
12500;1664;3.81%
Outros (231 itens);16748;38.40%
TOTAL GERAL;43619;100.00%

--- Coluna: Polo ativo ---
Item;Contagem;Percentual
PROCURADORIA GERAL DE JUSTICA DO ESTADO DE MATO GROSSO;1684;15.63%
ESTADO DE MATO GROSSO;1363;12.65%
UNIMED CUIABA COOPERATIVA DE TRABALHO MEDICO;822;7.63%
MUNICIPIO DE CUIABA;268;2.49%
BRADESCO SAUDE S/A;207;1.92%
UNIMED NORTE MATO GROSSO COOPERATIVA TRABALHO MEDICO;198;1.84%
DEFENSORIA PUBLICA DO ESTADO DE MATO GROSSO;150;1.39%
CENTRAL NACIONAL UNIMED - COOPERATIVA CENTRAL;97;0.90%
HAPVIDA ASSISTENCIA MEDICA S.A.;79;0.73%
MUNICIPIO DE SINOP;73;0.68%
Outros (271 itens);1294;12.01%
Sigiloso;4542;42.15%
TOTAL GERAL;10777;100.00%

--- Coluna: Polo ativo - Natureza juridica ---
Item;Contagem;Percentual
ORGAO PUBLICO AUTONOMO ESTADUAL OU DO DISTRITO FEDERAL;1684;15.63%
COOPERATIVA;1395;12.94%
ESTADO OU DISTRITO FEDERAL;1363;12.65%
MUNICIPIO;978;9.07%
SOCIEDADE ANONIMA FECHADA;371;3.44%
ORGAO PUBLICO DO PODER JUDICIARIO ESTADUAL;151;1.40%
SOCIEDADE EMPRESARIA LIMITADA;150;1.39%
ORGAO PUBLICO DO PODER EXECUTIVO MUNICIPAL;32;0.30%
ASSOCIACAO PRIVADA;31;0.29%
FUNDACAO PRIVADA;20;0.19%
Outros (10 itens);60;0.56%
Sigiloso;4542;42.15%
TOTAL GERAL;10777;100.00%

--- Coluna: Polo passivo ---
Item;Contagem;Percentual
ESTADO DE MATO GROSSO;13232;38.67%
MUNICIPIO DE CUIABA;2383;6.96%
SECRETARIA MUNICIPAL DE SAUDE;1188;3.47%
UNIMED CUIABA COOPERATIVA DE TRABALHO MEDICO;910;2.66%
MUNICIPIO DE SINOP;885;2.59%
MUNICIPIO DE RONDONOPOLIS;723;2.11%
FUNDO ESTADUAL DE SAUDE;662;1.93%
MUNICIPIO DE TANGARA DA SERRA;599;1.75%
PROCURADORIA GERAL DE JUSTICA DO ESTADO DE MATO GROSSO;372;1.09%
MUNICIPIO DE SORRISO;354;1.03%
Outros (412 itens);8365;24.45%
Sigiloso;4542;13.27%
TOTAL GERAL;34215;100.00%

--- Coluna: Polo passivo - Natureza juridica ---
Item;Contagem;Percentual
ESTADO OU DISTRITO FEDERAL;13232;38.67%
MUNICIPIO;11167;32.64%
COOPERATIVA;1986;5.80%
ORGAO PUBLICO DO PODER EXECUTIVO MUNICIPAL;1208;3.53%
FUNDO PUBLICO DA ADMINISTRACAO DIRETA ESTADUAL OU DO DISTRITO FEDERAL;662;1.93%
SOCIEDADE ANONIMA FECHADA;509;1.49%
ORGAO PUBLICO AUTONOMO ESTADUAL OU DO DISTRITO FEDERAL;372;1.09%
SOCIEDADE EMPRESARIA LIMITADA;207;0.60%
ASSOCIACAO PRIVADA;81;0.24%
SOCIEDADE ANONIMA ABERTA;57;0.17%
Outros (18 itens);192;0.56%
Sigiloso;4542;13.27%
TOTAL GERAL;34215;100.00%




=== REGIONAL NE_TJAL_CN - GERAL ===

--- Coluna: Codigos assuntos ---
Item;Contagem;Percentual
12489;2736;35.66%
12487;1581;20.60%
12490;553;7.21%
10671;347;4.52%
12508;296;3.86%
10263;295;3.84%
10656;251;3.27%
12503;246;3.21%
9196;157;2.05%
12500;107;1.39%
Outros (106 itens);1104;14.39%
TOTAL GERAL;7673;100.00%

--- Coluna: Polo ativo ---
Item;Contagem;Percentual
DEFENSORIA PUBLICA GERAL DO ESTADO DE ALAGOAS;565;33.35%
ESTADO DE ALAGOAS;380;22.43%
UNIMED MACEIO COOPERATIVA DE TRABALHO MEDICO;161;9.50%
MUNICIPIO DE MACEIO;91;5.37%
PROCURADORIA GERAL DE JUSTICA DO ESTADO DE ALAGOAS;65;3.84%
GABINETE DO VICE GOVERNADOR;28;1.65%
AMIL ASSISTENCIA MEDICA INTERNACIONAL S.A.;20;1.18%
BRADESCO SAUDE S/A;18;1.06%
HAPVIDA ASSISTENCIA MEDICA S.A.;17;1.00%
UNIMED SEGUROS SAUDE S/A;17;1.00%
Outros (108 itens);226;13.34%
Sigiloso;106;6.26%
TOTAL GERAL;1694;100.00%

--- Coluna: Polo ativo - Natureza juridica ---
Item;Contagem;Percentual
ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL;675;39.85%
ESTADO OU DISTRITO FEDERAL;366;21.61%
COOPERATIVA;203;11.98%
MUNICIPIO;121;7.14%
SOCIEDADE ANONIMA FECHADA;98;5.79%
SOCIEDADE EMPRESARIA LIMITADA;41;2.42%
ND;39;2.30%
ASSOCIACAO PRIVADA;27;1.59%
SOCIEDADE ANONIMA ABERTA;4;0.24%
FUNDACAO PRIVADA;4;0.24%
Outros (6 itens);10;0.59%
Sigiloso;106;6.26%
TOTAL GERAL;1694;100.00%

--- Coluna: Polo passivo ---
Item;Contagem;Percentual
ESTADO DE ALAGOAS;1900;32.51%
MUNICIPIO DE MACEIO;1778;30.42%
GABINETE DO VICE GOVERNADOR;604;10.34%
UNIMED MACEIO COOPERATIVA DE TRABALHO MEDICO;277;4.74%
SECRETARIA DE ESTADO DA SAUDE;117;2.00%
HAPVIDA ASSISTENCIA MEDICA S.A.;99;1.69%
SECRETARIA MUNICIPAL DE SAUDE;79;1.35%
BRADESCO SAUDE S/A;78;1.33%
DEFENSORIA PUBLICA GERAL DO ESTADO DE ALAGOAS;74;1.27%
ESMALE ASSISTENCIA INTERNACIONAL DE SAUDE LTDA;44;0.75%
Outros (211 itens);688;11.77%
Sigiloso;106;1.81%
TOTAL GERAL;5844;100.00%

--- Coluna: Polo passivo - Natureza juridica ---
Item;Contagem;Percentual
MUNICIPIO;1918;32.82%
ESTADO OU DISTRITO FEDERAL;1846;31.59%
ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL;916;15.67%
COOPERATIVA;358;6.13%
SOCIEDADE ANONIMA FECHADA;298;5.10%
SOCIEDADE EMPRESARIA LIMITADA;104;1.78%
ND;91;1.56%
ORGAO PUBLICO DO PODER EXECUTIVO MUNICIPAL;79;1.35%
ASSOCIACAO PRIVADA;78;1.33%
FUNDACAO PRIVADA;19;0.33%
Outros (8 itens);31;0.53%
Sigiloso;106;1.81%
TOTAL GERAL;5844;100.00%




=== REGIONAL NE_TJBA_CN - GERAL ===

--- Coluna: Codigos assuntos ---
Item;Contagem;Percentual
12488;31358;26.55%
12489;19034;16.12%
6226;13114;11.10%
12486;6042;5.12%
7780;6040;5.11%
10671;4593;3.89%
11974;3575;3.03%
12487;3059;2.59%
12503;3038;2.57%
12500;2414;2.04%
Outros (285 itens);25835;21.88%
TOTAL GERAL;118102;100.00%

--- Coluna: Polo ativo ---
Item;Contagem;Percentual
SUL AMERICA COMPANHIA DE SEGURO SAUDE;3886;17.48%
CENTRAL NACIONAL UNIMED - COOPERATIVA CENTRAL;2696;12.13%
BRADESCO SAUDE S/A;2628;11.82%
MINISTERIO PUBLICO DO ESTADO DA BAHIA;1521;6.84%
QUALICORP ADMINISTRADORA DE BENEFICIOS S.A.;1188;5.34%
ESTADO DA BAHIA;1019;4.58%
AMIL ASSISTENCIA MEDICA INTERNACIONAL S.A.;1011;4.55%
HAPVIDA ASSISTENCIA MEDICA S.A.;454;2.04%
CAIXA DE ASSISTENCIA DOS FUNCIONARIOS DO BANCO DO BRASIL;293;1.32%
SUL AMERICA SEGURO SAUDE S.A.;289;1.30%
Outros (2378 itens);6523;29.34%
Sigiloso;726;3.27%
TOTAL GERAL;22234;100.00%

--- Coluna: Polo ativo - Natureza juridica ---
Item;Contagem;Percentual
SOCIEDADE ANONIMA FECHADA;10379;46.68%
COOPERATIVA;3073;13.82%
SOCIEDADE EMPRESARIA LIMITADA;3041;13.68%
ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL;1553;6.98%
ESTADO OU DISTRITO FEDERAL;1019;4.58%
MUNICIPIO;670;3.01%
ASSOCIACAO PRIVADA;443;1.99%
EMPRESARIO (INDIVIDUAL);416;1.87%
ND;218;0.98%
SOCIEDADE ANONIMA ABERTA;205;0.92%
Outros (17 itens);491;2.21%
Sigiloso;726;3.27%
TOTAL GERAL;22234;100.00%

--- Coluna: Polo passivo ---
Item;Contagem;Percentual
SUL AMERICA COMPANHIA DE SEGURO SAUDE;10794;14.00%
CENTRAL NACIONAL UNIMED - COOPERATIVA CENTRAL;10547;13.68%
ESTADO DA BAHIA;9940;12.89%
BRADESCO SAUDE S/A;9497;12.32%
QUALICORP ADMINISTRADORA DE BENEFICIOS S.A.;5351;6.94%
AMIL ASSISTENCIA MEDICA INTERNACIONAL S.A.;2582;3.35%
HAPVIDA ASSISTENCIA MEDICA S.A.;2035;2.64%
CAIXA DE ASSISTENCIA DOS FUNCIONARIOS DO BANCO DO BRASIL;1721;2.23%
QUALICORP ADMINISTRACAO E SERVICOS LTDA;1063;1.38%
SUL AMERICA SEGURO SAUDE S.A.;855;1.11%
Outros (2177 itens);21991;28.52%
Sigiloso;726;0.94%
TOTAL GERAL;77102;100.00%

--- Coluna: Polo passivo - Natureza juridica ---
Item;Contagem;Percentual
SOCIEDADE ANONIMA FECHADA;35300;45.78%
COOPERATIVA;13678;17.74%
ESTADO OU DISTRITO FEDERAL;9940;12.89%
SOCIEDADE EMPRESARIA LIMITADA;6567;8.52%
MUNICIPIO;4326;5.61%
ASSOCIACAO PRIVADA;2696;3.50%
ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL;1206;1.56%
SOCIEDADE ANONIMA ABERTA;1132;1.47%
ND;435;0.56%
FUNDACAO PRIVADA;373;0.48%
Outros (33 itens);723;0.94%
Sigiloso;726;0.94%
TOTAL GERAL;77102;100.00%




=== REGIONAL NE_TJCE_CN - GERAL ===

--- Coluna: Codigos assuntos ---
Item;Contagem;Percentual
12489;4835;16.07%
12485;2201;7.31%
12500;2096;6.97%
12487;2049;6.81%
12495;1984;6.59%
12506;1796;5.97%
12499;1713;5.69%
12503;1619;5.38%
12494;1547;5.14%
12505;1253;4.16%
Outros (200 itens);8997;29.90%
TOTAL GERAL;30090;100.00%

--- Coluna: Polo ativo ---
Item;Contagem;Percentual
UNIMED FORTALEZA SOCIEDADE COOPERATIVA MEDICA LTDA;645;12.95%
IRMANDADE BENEF DA SANTA CASA DA MISERICORDIA DE FORT;492;9.88%
DEFENSORIA PUBLICA GERAL DO ESTADO DO CEARA;375;7.53%
ESTADO DO CEARA;299;6.00%
HAPVIDA ASSISTENCIA MEDICA S.A.;237;4.76%
MUNICIPIO DE FORTALEZA;173;3.47%
UNIMED DO CEARA - FEDERACAO DAS SOCIEDADES COOPERATIVAS MEDICAS DO ESTADO DO CEARA LTDA;165;3.31%
INSTITUTO DE SAUDE DOS SERVIDORES DO ESTADO DO CEARA - ISSEC;162;3.25%
MUNICIPIO DE FORTALEZA - PROCURADORIA GERAL DO MUNICIPIO - PGM;104;2.09%
PROCURADORIA GERAL DO ESTADO DO CEARA;102;2.05%
Outros (272 itens);1298;26.06%
Sigiloso;928;18.63%
TOTAL GERAL;4980;100.00%

--- Coluna: Polo ativo - Natureza juridica ---
Item;Contagem;Percentual
COOPERATIVA;902;18.11%
MUNICIPIO;678;13.61%
ND;661;13.27%
ASSOCIACAO PRIVADA;584;11.73%
SOCIEDADE ANONIMA FECHADA;403;8.09%
ESTADO OU DISTRITO FEDERAL;299;6.00%
AUTARQUIA ESTADUAL OU DO DISTRITO FEDERAL;162;3.25%
ORGAO PUBLICO DO PODER EXECUTIVO MUNICIPAL;105;2.11%
ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL;82;1.65%
SOCIEDADE EMPRESARIA LIMITADA;52;1.04%
Outros (15 itens);124;2.49%
Sigiloso;928;18.63%
TOTAL GERAL;4980;100.00%

--- Coluna: Polo passivo ---
Item;Contagem;Percentual
IRMANDADE BENEF DA SANTA CASA DA MISERICORDIA DE FORT;9212;27.66%
ESTADO DO CEARA;7024;21.09%
MUNICIPIO DE FORTALEZA;4033;12.11%
UNIMED FORTALEZA SOCIEDADE COOPERATIVA MEDICA LTDA;1529;4.59%
PROCURADORIA GERAL DO ESTADO;960;2.88%
MUNICIPIO DE FORTALEZA - PROCURADORIA GERAL DO MUNICIPIO - PGM;956;2.87%
MUNICIPIO DE FORTALEZA - PROCURADORIA GERAL DO MUNICIPIO DE FORTALEZA - PGM;735;2.21%
HAPVIDA ASSISTENCIA MEDICA S.A.;659;1.98%
SECRETARIA DA SAUDE DO ESTADO DO CEARA;596;1.79%
